Watching for file changes with StatReloader
[27/May/2026 12:20:21] "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
[27/May/2026 13:11:54] "POST /admin/logout/ HTTP/1.1" 200 3475
[27/May/2026 13:11:54] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[27/May/2026 13:11:54] "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
[27/May/2026 13:11:54] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
[27/May/2026 13:11:54] "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[27/May/2026 13:11:54] "GET /static/admin/js/theme.js HTTP/1.1" 304 0
[27/May/2026 13:11:54] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[27/May/2026 13:11:55] "GET /admin/ HTTP/1.1" 302 0
[27/May/2026 13:11:55] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4080
[27/May/2026 13:11:55] "GET /static/admin/css/login.css HTTP/1.1" 304 0
[27/May/2026 13:12:20] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[27/May/2026 13:12:20] "GET /admin/ HTTP/1.1" 200 7732
[27/May/2026 13:12:20] "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[27/May/2026 13:12:20] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[27/May/2026 13:12:20] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[27/May/2026 13:12:23] "POST /admin/logout/ HTTP/1.1" 200 3475
[27/May/2026 13:14:51] "GET /admin/ HTTP/1.1" 302 0
[27/May/2026 13:14:51] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4080
[27/May/2026 13:15:00] "GET /admin HTTP/1.1" 301 0
[27/May/2026 13:15:00] "GET /admin/ HTTP/1.1" 302 0
[27/May/2026 13:15:00] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4080
[27/May/2026 13:15:09] "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4247
[27/May/2026 13:15:15] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[27/May/2026 13:15:15] "GET /admin/ HTTP/1.1" 200 7732
[27/May/2026 13:20:50] "GET /admin/auth/user/add/ HTTP/1.1" 200 13361
[27/May/2026 13:20:50] "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[27/May/2026 13:20:50] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[27/May/2026 13:20:50] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[27/May/2026 13:20:50] "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 304 0
[27/May/2026 13:20:50] "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[27/May/2026 13:20:50] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[27/May/2026 13:20:50] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[27/May/2026 13:20:50] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[27/May/2026 13:20:50] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[27/May/2026 13:20:50] "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
